Date,SSH
May-65,6929
Jun-65,6979
Jul-65,7029
Aug-65,7079
Sep-65,7029
Oct-65,7099
Nov-65,7269
Dec-65,7120.84
Jan-66,7128.04
Feb-66,7092.510204
Mar-66,7065.313725
Apr-66,6987.27451
May-66,6966.962264
Jun-66,6986.018868
Jul-66,6996.584906
Aug-66,7009.226415
Sep-66,7004.320755
Oct-66,7026.923077
Nov-66,7104.333333
Dec-66,7120.84
Jan-67,7229
Feb-67,7099
Mar-67,7189
Apr-67,7089
May-67,6999
Jun-67,7059
Jul-67,7059
Aug-67,7029
Sep-67,7089
Oct-67,7139
Nov-67,7069
Dec-67,7169
Jan-68,7229
Feb-68,7219
Mar-68,7139
Apr-68,6929
May-68,7029
Jun-68,6979
Jul-68,7039
Aug-68,7119
Sep-68,7059
Oct-68,7026.923077
Nov-68,7104.333333
Dec-68,7120.84
Jan-69,7128.04
Feb-69,7092.510204
Mar-69,7065.313725
Apr-69,6987.27451
May-69,6966.962264
Jun-69,6986.018868
Jul-69,6996.584906
Aug-69,7009.226415
Sep-69,7004.320755
Oct-69,7026.923077
Nov-69,7104.333333
Dec-69,7120.84
Jan-70,7128.04
Feb-70,7092.510204
Mar-70,7065.313725
Apr-70,6987.27451
May-70,6966.962264
Jun-70,6986.018868
Jul-70,6996.584906
Aug-70,7009.226415
Sep-70,7004.320755
Oct-70,7026.923077
Nov-70,7104.333333
Dec-70,7120.84
Jan-71,7128.04
Feb-71,7092.510204
Mar-71,7065.313725
Apr-71,6987.27451
May-71,6966.962264
Jun-71,6986.018868
Jul-71,6996.584906
Aug-71,7009.226415
Sep-71,7004.320755
Oct-71,7026.923077
Nov-71,7104.333333
Dec-71,7120.84
Jan-72,7128.04
Feb-72,7092.510204
Mar-72,7149
Apr-72,7099
May-72,6999
Jun-72,7069
Jul-72,7089
Aug-72,7079
Sep-72,7079
Oct-72,7009
Nov-72,7179
Dec-72,7199
Jan-73,7239
Feb-73,7129
Mar-73,7119
Apr-73,6879
May-73,6969
Jun-73,7009
Jul-73,6979
Aug-73,6999
Sep-73,6989
Oct-73,7029
Nov-73,7189
Dec-73,7269
Jan-74,7169
Feb-74,7139
Mar-74,7219
Apr-74,7089
May-74,7019
Jun-74,7049
Jul-74,7079
Aug-74,7029
Sep-74,7029
Oct-74,6949
Nov-74,7089
Dec-74,7129
Jan-75,7029
Feb-75,7129
Mar-75,7059
Apr-75,6949
May-75,6919
Jun-75,6939
Jul-75,7019
Aug-75,7009
Sep-75,6939
Oct-75,7119
Nov-75,7209
Dec-75,7079
Jan-76,7079
Feb-76,7149
Mar-76,7049
Apr-76,6999
May-76,6979
Jun-76,7009
Jul-76,7089
Aug-76,7089
Sep-76,7069
Oct-76,7059
Nov-76,7039
Dec-76,7119
Jan-77,7019
Feb-77,7109
Mar-77,7029
Apr-77,6909
May-77,7039
Jun-77,6989
Jul-77,6999
Aug-77,7089
Sep-77,7089
Oct-77,7099
Nov-77,7189
Dec-77,7249
Jan-78,7269
Feb-78,7239
Mar-78,7099
Apr-78,7069
May-78,6969
Jun-78,6989
Jul-78,6999
Aug-78,7079
Sep-78,7099
Oct-78,7019
