Date,SSH
Jan-55,7006
Feb-55,6991
Mar-55,6912
Apr-55,6878
May-55,6985.916667
Jun-55,7020.569231
Jul-55,6994
Aug-55,6988
Sep-55,7067
Oct-55,7156
Nov-55,7098
Dec-55,7070
Jan-56,6991
Feb-56,6872
Mar-56,6933
Apr-56,6893
May-56,6887
Jun-56,6866
Jul-56,6945
Aug-56,7049
Sep-56,7018
Oct-56,7058
Nov-56,7003
Dec-56,6863
Jan-57,6967
Feb-57,7006
Mar-57,6915
Apr-57,6878
May-57,6985.916667
Jun-57,7020.569231
Jul-57,7042.515625
Aug-57,7064.460317
Sep-57,7046
Oct-57,7043
Nov-57,7024
Dec-57,7012
Jan-58,6991
Feb-58,7067
Mar-58,6881
Apr-58,6915
May-58,6881
Jun-58,6942
Jul-58,6994
Aug-58,7040
Sep-58,7037
Oct-58,7012
Nov-58,6927
Dec-58,7098
Jan-59,7042.716418
Feb-59,7011.686567
Mar-59,6981.333333
Apr-59,6981.121212
May-59,6985.916667
Jun-59,7020.569231
Jul-59,7042.515625
Aug-59,7064.460317
Sep-59,7091.569231
Oct-59,7046
Nov-59,6863
Dec-59,6878
Jan-60,6930
Feb-60,6881
Mar-60,6854
Apr-60,6896
May-60,6942
Jun-60,6963
Jul-60,6982
Aug-60,7061
Sep-60,7088
Oct-60,7152
Nov-60,7055
Dec-60,7061
Jan-61,6963
Feb-61,6982
Mar-61,7043
Apr-61,6963
May-61,7052
Jun-61,7009
Jul-61,7018
Aug-61,6994
Sep-61,6991
Oct-61,7034
Nov-61,7098
Dec-61,7125
Jan-62,7034
Feb-62,7003
Mar-62,6960
Apr-62,6924
May-62,6970
Jun-62,6918
Jul-62,6991
Aug-62,7012
Sep-62,7015
Oct-62,7067
Nov-62,7024
Dec-62,7049
Jan-63,6912
Feb-63,6909
Mar-63,6829
Apr-63,6866
May-63,6860
Jun-63,6957
Jul-63,6945
Aug-63,6979
Sep-63,7052
Oct-63,7058
Nov-63,7104
Dec-63,7024
Jan-64,6909
Feb-64,6963
Mar-64,6790
Apr-64,6899
May-64,6945
Jun-64,7009
Jul-64,6988
Aug-64,7003
Sep-64,7040
Oct-64,7031
Nov-64,7052
Dec-64,6997
Jan-65,6988
Feb-65,6991
Mar-65,6860
Apr-65,6921
May-65,6927
Jun-65,6948
Jul-65,7009
Aug-65,7000
Sep-65,7064
Oct-65,7049
Nov-65,7183
Dec-65,7101
Jan-66,6976
Feb-66,7107
Mar-66,7058
Apr-66,6963
May-66,6985.916667
Jun-66,7055
Jul-66,7058
Aug-66,7064.460317
Sep-66,7049
Oct-66,7085
Nov-66,7095
Dec-66,7091
Jan-67,6960
Feb-67,7015
Mar-67,7064
Apr-67,6979
May-67,6942
Jun-67,6948
Jul-67,6973
Aug-67,7021
Sep-67,6979
Oct-67,7113
Nov-67,7024
Dec-67,7143
Jan-68,7024
Feb-68,6927
Mar-68,6982
Apr-68,6906
May-68,6866
Jun-68,6924
Jul-68,6967
Aug-68,7034
Sep-68,7064
Oct-68,7082
Nov-68,7125
Dec-68,7088
Jan-69,6973
Feb-69,7043
Mar-69,6915
Apr-69,6976
May-69,7000
Jun-69,7061
Jul-69,7055
Aug-69,7134
Sep-69,7107
Oct-69,7137
Nov-69,7238
Dec-69,6896
Jan-70,6963
Feb-70,7012
Mar-70,7012
Apr-70,6997
May-70,6967
Jun-70,6973
Jul-70,7037
Aug-70,7003
Sep-70,7006
Oct-70,7125
Nov-70,7067
Dec-70,7040
Jan-71,7021
Feb-71,6948
Mar-71,6926
Apr-71,6938
May-71,6932
Jun-71,7002
Jul-71,6969
Aug-71,7002
Sep-71,6975
Oct-71,7002
Nov-71,7158
Dec-71,7009
Jan-72,6814
Feb-72,6862
Mar-72,6885
Apr-72,6949
May-72,6945
Jun-72,6963
Jul-72,6968
Aug-72,6982
Sep-72,7019
Oct-72,7043
Nov-72,7100
Dec-72,6935
