Date,TMIN
5/11/1981,12.05
5/12/1981,12.23
5/13/1981,12.35
5/14/1981,11.45
5/15/1981,12.42
5/16/1981,11.63
5/17/1981,11.27
5/18/1981,12.29
5/19/1981,12.93
5/20/1981,13.98
5/21/1981,12.37
5/22/1981,11.92
5/23/1981,12.21
5/24/1981,11.39
5/25/1981,10.9
5/26/1981,11.78
5/27/1981,12.38
5/28/1981,12.36
5/29/1981,13.24
5/30/1981,13.19
5/31/1981,14.87
6/1/1981,13.94
6/2/1981,14.58
6/3/1981,13.98
6/4/1981,13.3
6/5/1981,13.13
6/6/1981,13.5
6/7/1981,13.34
6/8/1981,15.07
6/9/1981,14.28
6/10/1981,13.05
6/11/1981,14.24
6/12/1981,13.11
6/13/1981,14.61
6/14/1981,16.73
6/15/1981,15.82
6/16/1981,13.33
6/17/1981,12.87
6/18/1981,12.62
6/19/1981,12.97
6/20/1981,13.51
6/21/1981,12.58
6/22/1981,12.76
6/23/1981,15.07
6/24/1981,14.54
6/25/1981,13.23
6/26/1981,12.08
6/27/1981,11.94
6/28/1981,12.12
6/29/1981,13.29
6/30/1981,15.21
7/1/1981,15.35
7/2/1981,14.34
7/3/1981,14.7
7/4/1981,15.49
7/5/1981,15.76
7/6/1981,16.33
7/7/1981,16.77
7/8/1981,17.91
7/9/1981,19.31
7/10/1981,17.3
7/11/1981,16.79
7/12/1981,16.12
7/13/1981,16.65
7/14/1981,16.66
7/15/1981,16.07
7/16/1981,16.19
7/17/1981,14.24
7/18/1981,14.73
7/19/1981,15.75
7/20/1981,17.46
7/21/1981,17.3
7/22/1981,15.55
7/23/1981,15.22
7/24/1981,14.19
7/25/1981,14.94
7/26/1981,16.33
7/27/1981,17.24
7/28/1981,18.46
7/29/1981,17.61
7/30/1981,15.51
7/31/1981,16.06
8/1/1981,15.66
8/2/1981,15.82
8/3/1981,17.51
8/4/1981,18.42
8/5/1981,18.64
8/6/1981,17.66
8/7/1981,17.81
8/8/1981,18.01
8/9/1981,16.33
8/10/1981,16.52
8/11/1981,16.71
8/12/1981,17.25
8/13/1981,17.78
8/14/1981,19.5
8/15/1981,19.49
8/16/1981,16.31
8/17/1981,15.87
8/18/1981,17.56
8/19/1981,17.21
8/20/1981,16.12
8/21/1981,15.97
8/22/1981,16.15
8/23/1981,16.01
8/24/1981,16.59
8/25/1981,18.05
8/26/1981,18.04
8/27/1981,18.61
8/28/1981,18.12
8/29/1981,16.84
8/30/1981,16.37
8/31/1981,16.35
9/1/1981,16.62
9/2/1981,16.72
9/3/1981,16.66
9/4/1981,16.97
9/5/1981,17.55
9/6/1981,17.39
9/7/1981,18.16
9/8/1981,18.3
9/9/1981,17.4
9/10/1981,18.34
9/11/1981,17
9/12/1981,16.37
9/13/1981,14.58
9/14/1981,14.95
9/15/1981,17.95
9/16/1981,16.17
9/17/1981,16.81
9/18/1981,16.59
9/19/1981,16.17
9/20/1981,15.75
9/21/1981,15.89
9/22/1981,15.97
9/23/1981,14.4
9/24/1981,15.93
9/25/1981,15.36
9/26/1981,15.48
