Year,Summer,Winter
1981,101.35,63.56
1982,112.35,98.71
1983,56.97,83.88
1984,122.3,68.12
1985,65.18,56.51
1986,44.18,85.46
1987,18.63,74.99
1988,84.64,66.09
1989,77.97,61.16
1990,48.39,91.94
1991,71.32,87.93
1992,75.93,97.91
1993,38.55,104.43
1994,36.47,85.1
1995,25.79,80.64
1996,43.63,69.53
1997,92.64,79.57
1998,50.98,113.34
1999,37.31,109.41
2000,70.74,61.38
2001,23.68,75.21
2002,21.3,63.42
2003,81.6,65.45
2004,40.28,53.15
2005,61.09,81.65
2006,38.5,75.55
2007,48.68,75.53
2008,35.87,52.55
2009,35.23,149.97
2010,50.95,102.07
2011,47.95,69.07
2012,39.81,77.58
2013,44.7,28.63
2014,61.05,72.52
2015,22.52,61.32
2016,52.06,51.04
2017,37.26,69.27
2018,43.01,79.8
2019,45.03,79.51
2020,44.64,87.49
2021,41.72,54.31
2022,25.95,46.89
2023,34.15,37.25
2024,NA,42.86
