Year,Summer,Winter
1984,5.926,3.01
1985,5.628,2.666
1986,5.378,2.448
1987,6.587,2.511
1988,4.905,2.756
1989,4.336,2.25
1990,4.928,3.17
1991,6.879,2.737
1992,5.579,2.871
1993,6.438,2.679
1994,5.62,2.71
1995,6.609,2.467
1996,5.15,2.708
1997,5.51,2.403
1998,5.512,2.978
1999,5.607,2.504
2000,4.501,2.599
2001,5.22,1.729
2002,6.332,1.25
2003,4.184,1.827
2004,5.821,1.738
2005,4.234,1.498
2006,5.781,1.538
2007,4.738,1.602
2008,6.316,1.98
2009,4.905,1.489
2010,4.04,1.183
2011,6.053,1.516
2012,3.808,1.345
2013,6.077,2.01
2014,3.484,1.752
2015,6.109,1.467
2016,3.48,2.014
2017,4.326,1.887
2018,5.167,1.208
2019,4.326,1.536
2020,5.764,1.733
2021,4.114,2.229
2022,4.728,1.851
2023,5.729,1.916
