Year,Summer,Winter
1981,6.844,-1.457
1982,6.305,-0.548
1983,6.237,-7.225
1984,2.355,-3.284
1985,3.988,-9.51
1986,3.731,0.269
1987,7.591,-1.728
1988,6.497,-1.146
1989,5.53,-2.848
1990,4.587,-4.942
1991,1.851,0.316
1992,6.297,-6.402
1993,7.437,-1.097
1994,6.022,-1.136
1995,4.918,-5.444
1996,4.234,-6.737
1997,6.132,-0.271
1998,7.578,-2.551
1999,5.58,-0.861
2000,4.979,-1.733
2001,4.728,-1.072
2002,6.349,0.279
2003,7.026,-0.168
2004,5.544,-2.164
2005,6.852,-0.592
2006,6.054,-3.541
2007,6.417,-1.248
2008,5.298,-7.263
2009,5.761,-2.494
2010,6.392,-2.972
2011,5,-2.695
2012,4.585,-1.035
2013,7.537,-2.804
2014,7.245,0.226
2015,7.164,-1.917
2016,6.899,-3.724
2017,6.92,-1.675
2018,7.491,-2.47
2019,5.124,-1.243
2020,4.446,-1.844
2021,6.086,-5.793
2022,5.657,-3.838
2023,4.291,-3.613
