Year,Summer,winter_1,Winter
1965,6929,6987.27451,6.98727451
1966,6966.962264,7089,7.089
1967,6999,6929,6.929
1968,6979,6987.27451,6.98727451
1969,6966.962264,6987.27451,6.98727451
1970,6966.962264,6987.27451,6.98727451
1971,6966.962264,7092.510204,7.092510204
1972,6999,6879,6.879
1973,6969,7089,7.089
1974,6949,6949,6.949
1975,6919,6999,6.999
1976,6979,6909,6.909
1977,6989,7069,7.069
1978,6969,6999,6.999
1979,6929,7029,7.029
1980,6989,7029,7.029
1981,6979,7099,7.099
1982,6949,7099,7.099
1983,7039,7039,7.039
1984,6989,6969,6.969
1985,6949,6969,6.969
1986,6999,6969,6.969
1987,6969,6949,6.949
1988,6949,6909,6.909
1989,6969,6969,6.969
1990,6959,6989,6.989
1991,6949,7079,7.079
1992,6959,7069,7.069
1993,6929,6929,6.929
1994,6919,6987.27451,6.98727451
1995,6966.962264,6987.27451,6.98727451
1996,6949,6969,6.969
1997,7029,6959,6.959
1998,6949,6889,6.889
1999,6899,6939,6.939
2000,6949,6909,6.909
2001,6879,6899,6.899
2002,6869,6969,6.969
2003,6919,6939,6.939
2004,6979,6989,6.989
2005,6919,7079,7.079
2006,6909,6969,6.969
2007,6919,6909,6.909
2008,6919,6869,6.869
2009,6939,7079,7.079
2010,6949,7039,7.039
2011,7009,6929,6.929
2012,6909,6889,6.889
2013,6899,6859,6.859
2014,6939,6959,6.959
2015,6949,6939,6.939
2016,6899,7039,7.039
2017,6919,6879,6.879
2018,6929,6909,6.909
2019,6879,6869,6.869
2020,6929,6845,6.845
2021,6855,6835,6.835
2022,6935,6925,6.925
