Year,Summer,Winter
1984,3.84,0.92
1985,2,0.55
1986,2.06,0.44
1987,3.61,0.47
1988,1.96,0.67
1989,0.76,1.2
1990,2.95,0.69
1991,2.1,1.22
1992,1.05,0.41
1993,1.99,1.78
1994,3.44,0.65
1995,3.85,1.54
1996,2.71,0.42
1997,1.6,0.98
1998,2.09,1.31
1999,2.74,1.82
2000,2.64,0.7
2001,3.92,2.18
2002,1.2,1.2
2003,2.89,1.77
2004,2.63,1.77
2005,3.17,1.89
2006,4.23,1.95
2007,3,2.25
2008,3.13,2.34
2009,3.65,1.61
2010,2.44,2.17
2011,2.65,3.73
2012,2.51,1.45
2013,1.88,2.18
2014,4.72,2.41
2015,3.26,1.76
2016,3.87,1.89
2017,3.27,1.96
2018,5.08,1.72
2019,2.63,2.44
2020,2.74,2.43
2021,2.42,2.52
2022,5.42,1.57
2023,2.74,1.74
