Year,Summer,Winter
1981,44.59,26.52
1982,58.65,37.22
1983,26.7,40.42
1984,35.97,38.35
1985,35.5,34.38
1986,36,35.32
1987,56.2,43.19
1988,31.01,24.89
1989,22.91,54.06
1990,46.44,35.63
1991,41.97,35.6
1992,36.06,30.62
1993,44.45,35.74
1994,34.4,44.51
1995,32.64,52.93
1996,60.49,27.62
1997,41.12,36.01
1998,37.71,43.99
1999,34.44,32.01
2000,53.13,55.25
2001,32.24,23.84
2002,30.79,51.6
2003,28.26,60.06
2004,32.16,19.94
2005,29.48,36.54
2006,36.77,33.82
2007,41.05,32.06
2008,64.24,29.44
2009,38.11,43.59
2010,43.76,27.87
2011,29.08,38.6
2012,43.37,37.97
2013,57.83,28.67
2014,37.94,36.04
2015,51.28,24.67
2016,39.06,34.84
2017,49.06,42.58
2018,44.72,36.19
2019,36.4,43.03
2020,70.43,43.01
2021,57.33,32.06
2022,23.05,53.73
2023,45.89,51.95
