Year,Sumer,Winter
1984,4.609,2.062
1985,5.186,1.711
1986,3.982,1.279
1987,4.997,1.486
1988,4.948,1.842
1989,4.442,1.542
1990,5.166,1.443
1991,4.027,2.002
1992,5.208,1.925
1993,3.347,1.74
1994,4.649,2.143
1995,5.509,1.232
1996,5.767,1.27
1997,4.842,0.901
1998,3.439,1.25
1999,5.059,1.921
2000,2.97,1.582
2001,4.893,1.815
2002,4.847,1.249
2003,6.284,1.603
2004,5.252,1.351
2005,5.323,1.765
2006,5.055,1.455
2007,4.342,2.032
2008,6.116,2.157
2009,5.156,1.639
2010,5.621,1.633
2011,5.888,1.808
2012,3.644,1.602
2013,4.86,2.031
2014,5.409,2.027
2015,4.186,1.505
2016,5.859,1.852
2017,5.064,2.012
2018,6.73,1.936
2019,5.303,2.059
2020,4.575,2.074
2021,5.939,1.57
2022,5.971,2.098
2023,5.443,1.821
