Year,Summer,Winter
1981,9.13,2.55
1982,8.648,1.897
1983,8.925,3.39
1984,8.503,-0.796
1985,6.911,-0.675
1986,8.469,-2.15
1987,9.188,4.346
1988,7.974,5.281
1989,7.608,5.672
1990,10.151,1.55
1991,7.979,3.048
1992,8.061,4.088
1993,9.064,2.675
1994,10.776,6.002
1995,8.508,2.012
1996,7.866,1.675
1997,9.521,4.251
1998,10.584,4.039
1999,10.73,4.091
2000,10.797,3.294
2001,9.113,3.955
2002,10.587,2.866
2003,8.669,2.885
2004,10.549,2.591
2005,9.458,2.964
2006,9.209,5.545
2007,10.993,4.628
2008,9.917,3.632
2009,10.421,2.05
2010,9.337,2.064
2011,11.716,3.017
2012,10.016,1.846
2013,9.045,6.095
2014,11.319,4.141
2015,9.425,4.37
2016,7.905,3.04
2017,8.978,2.84
2018,10.134,3.329
2019,9.037,3.897
2020,9.602,3.525
2021,8.011,4.786
2022,10.5,3.647
2023,10.077,3.387
