Year,Winter,Summer
1994,10.79,20.90502849
1995,7.03,20.53
1996,6.35,19.3
1997,10.88,20.69
1998,8.44,18.98
1999,9.82,17.3
2000,7.33,19.73
2001,7.45,22.63
2002,8.73,22.26
2003,10.68,21.56
2004,7.98,18.07
2005,10.56,19.63
2006,9.15,18.37
2007,9.26,19.42769231
2008,10.05,21.43042532
2009,4.57,21.39
2010,7.56,19.68
2011,11.83,19.96
2012,10.45,20.61
2013,6.98,22.01
2014,8.89,22.24
2015,10.86166667,22.63
2016,11.19,19.23
2017,6.62,21.58
2018,10.75,20.53
2019,11.39,22.62
2020,8.24,22.11
2021,8.76,20.29
2022,9,20.09
